Direction,Model,Split,Seed,LGBM_OA,Scratch_OA,Scratch_AA,Scratch_F1,FT_OA,FT_AA,FT_F1,TransferGain,Scratch_TrainTime,Scratch_InfTime,FT_TrainTime,FT_InfTime,VRAM_MB,RAM_MB,Scratch_Class_0_AA,FT_Class_0_AA,Scratch_Class_1_AA,FT_Class_1_AA,Scratch_Class_2_AA,FT_Class_2_AA
Indian Pines -> Local,SpectralFormer-inspired,0.05,44,0.8300180831826401,0.7466345187864175,0.7714856629557175,0.7527502826373892,0.7930480208961221,0.8121144030399928,0.8049211188572881,0.04641350210970463,30.906554222106934,0.7769327163696289,32.27985644340515,0.7383360862731934,109.8671875,8837.38671875,0.5268170426065163,0.6802005012531328,0.8943722943722944,0.9203463203463204,0.8932676518883416,0.8357963875205254
Indian Pines -> Local,ViT,0.05,44,0.8300180831826401,0.37050431987140847,0.45861571378812754,0.3242264752093487,0.8440827807916416,0.8564519972868431,0.850121160093081,0.4735784609202331,43.575331926345825,2.1038150787353516,77.36833953857422,2.111520767211914,636.51708984375,8837.38671875,0.0,0.7629072681704261,0.9965367965367965,0.9246753246753247,0.3793103448275862,0.8817733990147784
Indian Pines -> Local,HybridSN,0.05,45,0.8089210367691381,0.796664657424151,0.8284272157230416,0.81568211376048,0.8179626280892104,0.8441980953777687,0.8334868831132544,0.02129797066505934,125.637948513031,2.7904860973358154,139.16739797592163,2.8146307468414307,544.369140625,8837.38671875,0.5598997493734336,0.6486215538847118,0.9965367965367965,0.9896103896103896,0.9288451012588944,0.8943623426382047
Indian Pines -> Local,SpectralFormer-inspired,0.05,45,0.8089210367691381,0.69901547116737,0.7280065367179706,0.6917886721727613,0.8183644765923247,0.8345791333087159,0.8290987197930108,0.11934900542495475,34.94211554527283,0.7380132675170898,34.08659744262695,0.7371120452880859,109.8671875,8837.38671875,0.44110275689223055,0.7007518796992481,0.870995670995671,0.9212121212121213,0.8719211822660099,0.8817733990147784
Indian Pines -> Local,ViT,0.05,45,0.8089210367691381,0.7619047619047619,0.7910113144232925,0.7775599707783503,0.8324291742013261,0.8422650146788078,0.8447763647560834,0.07052441229656425,101.37267732620239,2.11396861076355,91.79572892189026,2.13254451751709,636.51708984375,8837.38671875,0.5949874686716792,0.7523809523809524,0.9575757575757575,0.8926406926406927,0.8204707170224411,0.8817733990147784
Indian Pines -> Local,HybridSN,0.05,46,0.8042997789833233,0.8593530239099859,0.8776718878352273,0.8768144015907211,0.8617641149286719,0.8762060148630022,0.8772442426946979,0.0024110910186859735,145.47745418548584,2.787153482437134,114.94357705116272,2.8216209411621094,544.369140625,8837.38671875,0.7654135338345864,0.8050125313283208,0.9852813852813853,0.9653679653679653,0.8823207443897099,0.8582375478927203
Indian Pines -> Local,SpectralFormer-inspired,0.05,46,0.8042997789833233,0.7211171388386578,0.7429596282590838,0.725888246830546,0.7765722322684347,0.7977989208479227,0.7854892093088783,0.05545509342977695,29.610127687454224,0.7534012794494629,26.1496160030365,0.7500605583190918,109.8671875,8837.38671875,0.6080200501253132,0.6591478696741855,0.870995670995671,0.9203463203463204,0.7498631636562672,0.8139025725232621
Indian Pines -> Local,ViT,0.05,46,0.8042997789833233,0.36347197106690776,0.4478777927053789,0.3185946729800178,0.8133413703033956,0.8272160722251467,0.8273351914463833,0.44986939923648783,60.609596490859985,2.1086249351501465,70.86917161941528,2.116410493850708,636.51708984375,8837.38671875,0.0,0.7298245614035088,0.961038961038961,0.9056277056277057,0.3825944170771757,0.8461959496442255
Indian Pines -> Local,HybridSN,0.05,47,0.8253968253968254,0.9226441631504922,0.9339643081929833,0.9315761217349484,0.9144062688366486,0.9260495369388292,0.9246149639576654,-0.008237894313843697,144.97084498405457,2.785426616668701,139.24811100959778,2.8018860816955566,544.369140625,8837.38671875,0.8315789473684211,0.856140350877193,0.9922077922077922,0.9948051948051948,0.9781061850027367,0.9272030651340997
Indian Pines -> Local,SpectralFormer-inspired,0.05,47,0.8253968253968254,0.8065099457504521,0.8266430618517733,0.8163946179172076,0.8231866586296966,0.838100301258196,0.8315141984662843,0.01667671287924455,35.418429136276245,0.7306113243103027,34.42894124984741,0.7337601184844971,109.8671875,8837.38671875,0.7192982456140351,0.7598997493734336,0.9489177489177489,0.929004329004329,0.8117131910235359,0.8253968253968254
Indian Pines -> Local,ViT,0.05,47,0.8253968253968254,0.3510146674703637,0.35285269949516773,0.365556537786208,0.836045810729355,0.8511653567914911,0.8477912226447494,0.4850311432589913,50.3088641166687,2.1050925254821777,94.76841950416565,2.1224782466888428,636.51708984375,8837.38671875,0.35538847117794486,0.7388471177944862,0.3670995670995671,0.935064935064935,0.33607006020799124,0.879584017515052
Indian Pines -> Local,HybridSN,0.05,48,0.8257986738999398,0.8595539481615431,0.8712310207773003,0.8720855604904943,0.8444846292947559,0.8639234798944418,0.8615033303748848,-0.015069318866787196,101.61125349998474,2.79298996925354,138.99365878105164,2.7944767475128174,544.369140625,8837.38671875,0.9849624060150376,0.7388471177944862,0.9861471861471861,0.9766233766233766,0.6425834701696771,0.8762999452654625
Indian Pines -> Local,SpectralFormer-inspired,0.05,48,0.8257986738999398,0.8139441430580671,0.829878073798219,0.8265796477262762,0.8434800080369701,0.855915825788784,0.8521867873436081,0.029535864978903037,35.19548153877258,0.7558882236480713,34.01895761489868,0.7410271167755127,109.8671875,8837.38671875,0.7889724310776942,0.7729323308270677,0.9376623376623376,0.9272727272727272,0.7629994526546251,0.8675424192665572
Indian Pines -> Local,ViT,0.05,48,0.8257986738999398,0.5483222824994977,0.48517898717535735,0.4619140797609365,0.794052642153908,0.8146915529855638,0.8079088916659315,0.24573035965441037,57.00916862487793,2.1083908081054688,97.98738074302673,2.1174638271331787,636.51708984375,8837.38671875,0.9518796992481203,0.6120300751879699,0.1341991341991342,0.9168831168831169,0.3694581280788177,0.9151614668856048
Indian Pines -> Local,HybridSN,0.05,49,0.8264014466546112,0.7727546714888487,0.8060146884103326,0.7715078948055565,0.8613622664255576,0.8776792206919248,0.8751452125798284,0.08860759493670889,145.33733201026917,2.7920711040496826,139.34732294082642,2.809269905090332,544.369140625,8837.38671875,0.49273182957393485,0.7588972431077694,0.974025974025974,0.9688311688311688,0.9512862616310892,0.9053092501368364
Indian Pines -> Local,SpectralFormer-inspired,0.05,49,0.8264014466546112,0.8153506128189673,0.8146011144196262,0.8221801481878329,0.8304199316857545,0.8432619340060357,0.8395898010562931,0.015069318866787196,31.569126844406128,0.7243359088897705,34.28948402404785,0.7353208065032959,109.8671875,8837.38671875,0.8130325814536341,0.750375939849624,0.8086580086580086,0.9151515151515152,0.8221127531472359,0.8642583470169677
Indian Pines -> Local,ViT,0.05,49,0.8264014466546112,0.37211171388386577,0.46049990877577085,0.3257736462860556,0.8175607795860961,0.8200942970452952,0.8268959807162727,0.4454490657022303,40.26046347618103,2.101548194885254,56.93638873100281,2.1154019832611084,636.51708984375,8837.38671875,0.0,0.8551378446115289,1.0,0.8476190476190476,0.38149972632731255,0.7575259989053093
Indian Pines -> Local,HybridSN,0.05,50,0.8209764918625678,0.8523206751054853,0.8709453885497442,0.870660423432386,0.8450874020494273,0.8656217345872518,0.8641216762902252,-0.007233273056057921,144.48485732078552,2.801344394683838,139.2592737674713,2.8145534992218018,544.369140625,8837.38671875,0.7834586466165413,0.7428571428571429,0.987012987012987,0.987012987012987,0.8423645320197044,0.8669950738916257
Indian Pines -> Local,SpectralFormer-inspired,0.05,50,0.8209764918625678,0.74221418525216,0.7577086219554459,0.7438411285668275,0.7968655816757083,0.8115890562351543,0.8044336933421534,0.054651396423548326,29.44597864151001,0.7440536022186279,27.437800645828247,0.7405200004577637,109.8671875,8837.38671875,0.5578947368421052,0.7273182957393484,0.8225108225108225,0.8995670995670996,0.89272030651341,0.8078817733990148
Indian Pines -> Local,ViT,0.05,50,0.8209764918625678,0.35603777375929274,0.43571345640311154,0.3129556972628398,0.8193690978501105,0.8296949269726038,0.8305877835341274,0.46333132409081773,43.67610263824463,2.102848529815674,84.21817445755005,2.108858108520508,636.51708984375,8837.38671875,0.0,0.7478696741854637,0.9168831168831169,0.8857142857142857,0.39025725232621783,0.8555008210180624
Indian Pines -> Local,HybridSN,0.05,51,0.8181635523407675,0.7703435804701627,0.8068352699931647,0.7672611806293329,0.8689973879847298,0.8861179420163086,0.8840367355518701,0.0986538075145671,144.7765293121338,2.783369541168213,139.25559902191162,2.8027658462524414,544.369140625,8837.38671875,0.4741854636591479,0.7478696741854637,0.9939393939393939,0.9783549783549783,0.9523809523809523,0.9321291735084839
Indian Pines -> Local,SpectralFormer-inspired,0.05,51,0.8181635523407675,0.7504520795660036,0.7737062963923217,0.7581620225719691,0.753465943339361,0.7736802822102278,0.7630244909000218,0.003013863773357439,34.19296860694885,0.7854335308074951,22.397468090057373,0.733346700668335,109.8671875,8837.38671875,0.5328320802005012,0.6160401002506266,0.8857142857142857,0.883982683982684,0.9025725232621784,0.8210180623973727
Indian Pines -> Local,ViT,0.05,51,0.8181635523407675,0.3498091219610207,0.4258114809838948,0.3073641756710273,0.8225838858750251,0.8401550724599726,0.8348438373313996,0.47277476391400436,33.47208523750305,2.1011621952056885,97.70862698554993,2.1256203651428223,636.51708984375,8837.38671875,0.0,0.6992481203007519,0.8822510822510823,0.935064935064935,0.39518336070060206,0.886152162014231
Indian Pines -> Local,HybridSN,0.1,42,0.8444846292947559,0.9441430580671087,0.9531077781531502,0.9513816350024081,0.9236487844082781,0.9340007978846453,0.9315502941167063,-0.02049427365883061,204.91238641738892,2.783238172531128,193.21013951301575,2.790740728378296,544.369140625,8974.62890625,0.8681704260651629,0.8601503759398497,0.9982683982683983,0.9922077922077922,0.9928845101258894,0.9496442255062945
Indian Pines -> Local,SpectralFormer-inspired,0.1,42,0.8444846292947559,0.8145469158127386,0.8403575989782887,0.8252885343244518,0.8637733574442436,0.8684447098240202,0.8711650338637237,0.049226441631504914,48.14045691490173,0.741870641708374,40.79010725021362,0.7262814044952393,109.8671875,8974.62890625,0.638095238095238,0.8857142857142857,0.9809523809523809,0.9073593073593074,0.9020251778872469,0.8122605363984674
Indian Pines -> Local,ViT,0.1,42,0.8444846292947559,0.3735181836447659,0.46177704798394453,0.3272909899074129,0.8527225236085996,0.8662652800583835,0.8645271610477766,0.47920433996383366,77.91089081764221,2.100848913192749,132.01912665367126,2.1117639541625977,636.51708984375,8974.62890625,0.0,0.7714285714285715,1.0,0.9428571428571428,0.3853311439518336,0.8845101258894362
Indian Pines -> Local,HybridSN,0.1,43,0.8448864777978702,0.8693992364878441,0.8865415017865109,0.8822419223295435,0.8947156921840466,0.9072980256283341,0.9078681332371481,0.025316455696202445,204.942941904068,2.7749557495117188,172.2216477394104,2.801170587539673,544.369140625,8974.62890625,0.7528822055137845,0.8741854636591478,0.9800865800865801,0.9922077922077922,0.926655719759168,0.8555008210180624
